city,neighborhood,normalized_neighborhood,arnona_zone,building_type,price_per_sqm_yearly,source_year,source_document,conflict_resolved,all_zones_found,notes
ירושלים,אבו טור,אבו טור,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,אבן יהושע,אבן יהושע,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,אדי ג,אדי ג,ב,2,86.34,2026,Jerusalem tax order 2026,true,ב;ג,appeared in multiple zones; highest price selected
ירושלים,אדמת הולילנד,אדמת הולילנד,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,אחווה,אחווה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,אל סוואנה,אל סוואנה,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,אלסוואני,אלסוואני,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,ארמון הנציב,ארמון הנציב,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,ארנונה,ארנונה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,בית הכרם,בית הכרם,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,בית הערבה,בית הערבה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,בית חנ י נה 4 בית חנינה 5 בית חנינה 7 בית חנינה 10 בית חנינה 16 ג שעפט 1 ג שעפט 1 ג שעפט 1 שעפט 1 ג ג שעפט 1 שעפט 1 שעפט,בית חנ י נה 4 בית חנינה 5 בית חנינה 7 בית חנינה 10 בית חנינה 16 ג שעפט 1 ג שעפט 1 ג שעפט 1 שעפט 1 ג ג שעפט 1 שעפט 1 שעפט,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,בית ישראל,בית ישראל,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,בית ישראל החדשה,בית ישראל החדשה,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,בית מילנר,בית מילנר,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,בית צפפה,בית צפפה,ב,2,86.34,2026,Jerusalem tax order 2026,true,ב;ג,appeared in multiple zones; highest price selected
ירושלים,בית צפפה בית חנינה 1 בית חנינה 2 בית חנינה 3 בית חנינה 4 בית חנינה 5 בית חנינה 6 בית חנינה,בית צפפה בית חנינה 1 בית חנינה 2 בית חנינה 3 בית חנינה 4 בית חנינה 5 בית חנינה 6 בית חנינה,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,בתי,בתי,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,בתי אבן,בתי אבן,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,בתי אונגרים,בתי אונגרים,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,גאולה,גאולה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גאולים,גאולים,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,גבעת אורנים,גבעת אורנים,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גבעת המטוס,גבעת המטוס,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,גבעת חנניה,גבעת חנניה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גבעת מרדכי,גבעת מרדכי,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גבעת משה,גבעת משה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גבעת משואה,גבעת משואה,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,גבעת רם,גבעת רם,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,גבעת שאול,גבעת שאול,ב,2,86.34,2026,Jerusalem tax order 2026,true,ב;ג,appeared in multiple zones; highest price selected
ירושלים,גבעת שאול בדרך לגבעת שאול ב,גבעת שאול בדרך לגבעת שאול ב,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,גבעת שאול ב ליפתא תחתונה עין כרם בי ס חקלאי,גבעת שאול ב ליפתא תחתונה עין כרם בי ס חקלאי,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,גבעת שאול דרך הר המנוחות,גבעת שאול דרך הר המנוחות,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,גבעת שפירא,גבעת שפירא,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,גונן א,גונן א,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב;ג,appeared in multiple zones; highest price selected
ירושלים,גונן דרום,גונן דרום,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,גילה,גילה,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,גילה עין כרם,גילה עין כרם,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,הבוכרים,הבוכרים,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,המפונים,המפונים,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,המקשר,המקשר,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הקריה,הקריה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הרב ברלין,הרב ברלין,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הרב קוק החבצלת,הרב קוק החבצלת,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הר הזיתים,הר הזיתים,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,הר החוצבים,הר החוצבים,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,הר הצופים,הר הצופים,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ג,appeared in multiple zones; highest price selected
ירושלים,הר הרצל,הר הרצל,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הרובע היהודי,הרובע היהודי,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,הר חומה הר חומה,הר חומה הר חומה,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
