settlement_name,settlement_id,rent_3_rooms,rent_4_rooms,rent_5_rooms
Total,NULL,4405.1,5400.7,7005.4
Jerusalem District,1,4664.6,5860.6,7424.9
North District,2,2686.7,3432.8,4802.4
Haifa District,3,3138.5,3981.2,5554.8
center District,4,4286.4,5479.2,7284.9
Tel Aviv District,5,5808.9,7096,9232.8
South District,6,3138.6,3928.2,5003.2
Ashdod,70,3843.1,4827.2,6138.1
Ashkelon,7100,3203.4,3959.7,4742.1
Beer Sheva,9000,2753.3,3385.4,4731.8
Bet Shemesh,2610,4094.6,4695.6,6261.7
Bnei Brak,6100,4055.3,5050,6241.8
Bat Yam,6200,4042.1,5309.9,6885.7
Herzliya,6400,5377.2,6886,9139.9
Hadera,6500,3378.7,4273.5,5093.4
Holon,6600,4212.9,5346.5,6866.9
Haifa,4000,3081.9,3937.6,5333.8
Jerusalem,3000,4748.2,6018.2,7683.9
Kfar Saba,6900,4656.6,5939.3,7506.7
Netanya,7400,3996.3,5203.6,6374.3
Petah Tiqwa,7900,4140.6,5179.1,6906
Rishon Lezion,8300,4523.1,5446.3,7288.5
Rehovot,8400,4016.8,4965.1,6347.7
Ramat Gan,8600,5304.8,6642.6,8299.2
Tel Aviv,5000,7044.9,8738.9,11092
