settlement_id,locality_name,rent_3_rooms,rent_4_rooms,rent_5_rooms
472,אבו גוש,4000,NULL,NULL
473,אבו סנאן,NULL,NULL,NULL
1342,אבו קורינאת (יישוב),NULL,NULL,NULL
1375,אבו תלול,NULL,NULL,NULL
652,אבטין,NULL,NULL,NULL
1275,אבטליון,NULL,NULL,NULL
679,אביאל,NULL,NULL,NULL
1115,אביבים,NULL,NULL,NULL
819,אביגדור,NULL,NULL,NULL
175,אביחיל,NULL,NULL,NULL
2052,אביטל,NULL,NULL,NULL
1070,אביעזר,NULL,NULL,NULL
1220,אבירים,NULL,NULL,NULL
182,אבן יהודה,4500,7900,NULL
1081,אבן מנחם,NULL,NULL,NULL
783,אבן ספיר,NULL,NULL,NULL
400,אבן שמואל,NULL,NULL,NULL
4011,אבני איתן,NULL,NULL,NULL
3793,אבני חפץ,2100,2675,2650
3786,אבנת,NULL,NULL,NULL
1311,אבשלום,NULL,NULL,NULL
3759,אדורה,NULL,NULL,NULL
113,אדירים,NULL,NULL,NULL
1068,אדמית,NULL,NULL,NULL
1123,אדרת,NULL,NULL,NULL
446,אודים,NULL,NULL,NULL
4010,אודם,NULL,NULL,NULL
1046,אוהד,NULL,NULL,NULL
2710,אום אל-פחם,NULL,NULL,NULL
2024,אום אל-קוטוף,NULL,NULL,NULL
1358,אום בטין,NULL,NULL,NULL
1108,אומן,NULL,NULL,NULL
680,אומץ,NULL,NULL,NULL
31,אופקים,2445,2725,5000
1294,אור הגנוז,NULL,NULL,NULL
67,אור הנר,NULL,NULL,NULL
2400,אור יהודה,4725,6000,7213
1020,אור עקיבא,3275,4550,5600
780,אורה,5200,NULL,NULL
1771,אורון,NULL,NULL,NULL
2012,אורות,NULL,NULL,NULL
4013,אורטל,NULL,NULL,NULL
403,אורים,NULL,NULL,NULL
882,אורנים,NULL,NULL,NULL
3760,אורנית,4500,NULL,NULL
278,אושה,NULL,NULL,NULL
565,אזור,4150,5500,6650
1724,אזור תעסוקה משגב(תרדיון),NULL,NULL,NULL
1726,אזור תעשייה אכזיב (מילואות),NULL,NULL,NULL
1701,אזור תעשייה הר-טוב,NULL,NULL,NULL
1727,אזור תעשייה נעמן (מילואות),NULL,NULL,NULL
1157,אחווה,NULL,NULL,NULL
821,אחוזם,NULL,NULL,NULL
1330,אחוזת ברק,NULL,NULL,NULL
785,אחיהוד,NULL,NULL,NULL
850,אחיטוב,NULL,NULL,NULL
804,אחיסמך,NULL,NULL,NULL
797,אחיעזר,NULL,NULL,NULL
338,איבים,NULL,NULL,NULL
716,אייל,NULL,NULL,NULL
77,איילת השחר,NULL,NULL,NULL
294,אילון,NULL,NULL,NULL
1716,אילון תבור*,NULL,NULL,NULL
1126,אילות,NULL,NULL,NULL
49,אילנייה,NULL,NULL,NULL
2600,אילת,3999,5000,7350
1336,אירוס,NULL,NULL,NULL
3762,איתמר,NULL,NULL,NULL
37,איתן,NULL,NULL,NULL
886,איתנים,NULL,NULL,NULL
478,אכסאל,NULL,NULL,NULL
1359,אל סייד,NULL,NULL,NULL
1339,אל -עזי,NULL,NULL,NULL
1316,אל -עריאן,NULL,NULL,NULL
4003,אל -רום,NULL,NULL,NULL
1145,אלומה,NULL,NULL,NULL
330,אלומות,NULL,NULL,NULL
1182,אלון הגליל,NULL,NULL,NULL
3579,אלון מורה,NULL,NULL,NULL
3604,אלון שבות,NULL,NULL,NULL
429,אלוני אבא,NULL,NULL,NULL
4017,אלוני הבשן,NULL,NULL,NULL
868,אלוני יצחק,NULL,NULL,NULL
